Długość Geograficzna;Szerokość Geograficzna;ID Słupka;Typ Przystanku
17.06335752;51.11218871;20923;3
17.12000510;51.14968148;29105;3
17.06568138;51.13202206;24141;3
16.99844283;51.13591629;23202;0
17.12881623;51.11458176;24707;3
17.09002274;51.11704986;24208;0
17.12915965;51.16692221;29545;3
17.00400882;51.06973483;16523;3
17.04682845;51.08630245;21012;03
16.95673513;51.13382604;12525;3
16.99820221;51.07807396;16517;3
17.11592100;51.09508586;25517;3
17.04584472;51.12467151;20636;0
17.02050516;51.09852195;11323;3
17.01795905;51.09382143;11336;3
17.12912383;51.16611510;29525;3
16.99489050;51.06687356;16407;0
16.85312245;51.14754295;18343;3
17.07486393;51.06327639;25318;3
17.07746296;51.11978375;24303;3
16.91007516;51.10836023;17508;3
17.05998827;51.13834426;23733;3
16.98036215;51.07696327;17124;3
17.00999290;51.15794939;23155;3
17.11362995;51.12901127;24127;3
16.97567098;51.12842179;12321;3
16.90511506;51.14207053;18113;3
17.03329590;51.11640969;10712;3
17.06676238;51.11513397;20807;03
16.90059559;51.12752167;17710;3
16.99265121;51.09760594;11602;0
17.03082098;51.14420557;23126;3
16.95594482;51.11037651;12112;3
17.03082007;51.12278542;20681;0
17.02869907;51.10139117;10270;0
17.01580755;51.09166809;11346;3
17.02771307;51.16126922;23525;3
17.09480413;51.06901244;25132;3
17.10094743;51.15680316;29518;3
17.01565183;51.05823746;26316;3
17.10180840;51.10220597;24413;0
17.07345129;51.11511855;24202;03
17.01671108;51.08192172;11355;3
17.03657976;51.09726922;21121;3
17.02618394;51.13302312;23102;3
17.07361711;51.11506270;24201;03
17.04505117;51.08920280;21009;03
17.00776912;51.08002507;11305;3
16.98138201;51.06369656;16701;3
17.03849027;51.10378688;10333;3
17.03693772;51.10352717;10332;3
17.06119330;51.11114106;20855;03
16.92299241;51.15687926;18521;3
17.10219215;51.12781415;24015;0
16.84041825;51.12912025;18336;3
17.08041926;51.06946508;25304;3
17.09441960;51.06772802;25117;3
17.02671428;51.10976814;10004;0
16.91294096;51.17341833;18719;3
17.07372026;51.10689464;24401;0
16.97749101;51.09210589;11607;0
17.13089002;51.15166062;29108;3
17.01849744;51.10876071;10553;3
16.98960253;51.08210109;11747;3
17.02659351;51.10983404;10006;0
17.03209808;51.15649940;23541;3
17.11493330;51.14780568;29129;3
17.10445023;51.10655411;24516;3
16.95875130;51.12333306;12542;3
17.04858192;51.11044987;20303;3
17.00695047;51.08468131;11545;3
17.00638480;51.07495405;11314;3
